NameDeposit,Includes,OtherNames,Country,CountryCode,StateProvince,LatitudeDecimal,LongitudeDecimal,AgeMY,Deposit Age,Tonnage,Copper grade,Molybdenum grade,Gold grade,Silver grade,Subtype,EmpacementDepthkm,Assoc Deposits less 10km,Assoc Deposits less 5km,DepositID,LatitudeDegrees,LatitudeMinutes,LatitudeSeconds,LongitudeDegrees,LongitudeMinutes,LongitudeSeconds,Minerals,RocksInDeposit,RocksOnMap,RocksOnMapInDeposit,DiscoveryDate,StartupDate,OreAAxis,OreBAxis,OreArea,AlterAAxis,AlterBAxis,AlterArea,SulfideAAxis,SulfideBAxis,SulfideArea,Comments,References
Sulphurets,,,Canada,CNBC,British Columbia,56.5044444444444,-130.262777777778,193.5,195–192,382,0.406,0,0.76,2.2,20c,0,25e,"20c, 25a, 39a",112,56,30,16,-130,-15,-46,"acanthite, anhydrite/gypsum, apatite, barite, bornite, chalcocite/digenite, chalcopyrite, chlorite, covellite, electrum, enargite, epidote, gold, hedleyite (Bi7Te3), hessite (Ag2Te), kesterite, magnetite, molybdenite, pyrite, pyrophyllite, sericite, siderite, tellurides of Au, Ag, Hg, tetrahedrite, tourmaline","breccia, diorite, feldspar porphyry, felsite, monzodiorite, monzonite porphyry, quartz syenite, syenite porphyry",n.d.,"andesite, andesite tuff, conglomerate, graywacke, mudstone, siltstone, tuff",1935,n.d.,1.8,0.9,1.3,6,3,14,4,1.8,5.6,,"Fowler, B.P., and Wells, R.C., 1995, The Sulphurets Gold zone, northwester British Columbia, in Schroeter, T.G., ed., Porphyry deposits of the northwestern Cordillera of North America: Canadian Institute of Mining, Metallurgy and Petroleum Special Volume 46, p. 484–498.

Kirkham, R.V., and Margolis, J., 1995, Overview of the Sulphurets area, northwestern British Columbia, in Schroeter, T.G., ed., Porphyry deposits of the northwestern Cordillera of North America: Canadian Institute of Mining, Metallurgy and Petroleum Special Volume 46, p. 473–483.

Margolis, J., and Britten, R.M., 1995, Porphyry-style and epithermal copper-molybdenum-gold-silver mineralization in the northern and southeastern Sulphurets district, northwestern Columbia, in Schroeter, T.G., ed., Porphyry deposits of the northwestern Cordillera of North America: Canadian Institute of Mining, Metallurgy and Petroleum Special Volume 46, p. 499–508. 

Macdonald, A.J., Lewis, P.D., Thompson, J.F.H., Nadaraju, G., Bartsch, R.D., Bridge, D.J., Rhys, D.A., Roth, T., Kaip, A., Godwin, C.I., and Sinclair, A.J., 1996, Metallogeny of an Early to Middle Jurassic arc, Iskut River area, Northwester British Columbia: Economic Geology, v. 91, p. 1098–1114."
Taseko,,,Canada,CNBC,British Columbia,51.1044444444444,-123.4,85,85,15,0.53,0.012,0.53,0,20c,0,n.d.,25e,141,51,6,16,-123,-24,,"alunite, andalusite, apatite, bastnaesite, biotite, chalcopyrite, chlorite, corundum, diaspore, epidote, fluorite, gold, gypsum, kaolinite/dickite, hematite, limonite, magnetite, molybdenite, pyrite, pyrophyllite, sericite, tourmaline ","andesitic dacite porphyry, dacite porphyry, quartz porphyry","agglomerate, argillite, basalt, conglomerate, sandstone","andesite porphyry, dacite, granodiorite, quartz monzonite, rhyolite, tuff",1922,n.d.,0,0,0,5,1.5,5.9,0,0,0,,"Osborne, W.W., and Allen, D.G., 1995, The Taseko copper-gold-molybdenum deposits, central British Columbia, in Schroeter, T.G., ed., Porphyry deposits of the northwestern Cordillera of North America: Canadian Institute of Mining, Metallurgy and Petroleum Special Volume 46, p. 441–450."
Trojan,,"Getty, South Seas",Canada,CNBC,British Columbia,50.5666666666667,-121,,n.d.,,0,0,0,0,17,0,21a,17,148,50,34,,-121,0,,"bornite, calcite, chalcocite, chalcopyrite, chlorite, clay minerals, copper, cuprite, epidote, molybdenite, pyrite, sericite","breccia, quartz diorite porphyry",n.d.,"andesite, dacite, conglomerate, quartz diorite, sandstone, siltstone",n.d.,n.d.,0,0,0,0,0,0,0,0,0,Resource: 1.54 Mt at 0.35% Cu,"Casselman, M.J., McMillan, W.J., and Newman, K.M., 1995, Highland Valley porphyry copper deposits near Kamloops, British Columbia: a review and update with emphasis on the Valley deposit, in Schroeter, T.G., ed., Porphyry deposits of the northwestern Cordillera of North America: Canadian Institute of Mining, Metallurgy and Petroleum Special Volume 46, p. 161–191.

Christie, J.S., 1976, Krain, in Sutherland Brown, A., ed., Porphyry deposits of the Canadian Cordillera of North America: Canadian Institute of Mining, Metallurgy and Petroleum Special Volume 15, p. 182–185. 

McMillan, W.J., 1976, Geology and genesis of the Highland Valley  ore deposits and the Guichon Creek Batholith, in Sutherland Brown, A., ed., Porphyry deposits of the Canadian Cordillera of North America: Canadian Institute of Mining, Metallurgy and Petroleum Special Volume 15, p. 85–104."
Valley  ,,"Valley Copper, Highland Valley",Canada,CNBC,British Columbia,50.4855555555556,-121.048333333333,196,202–190,833.5,0.432,0.0067,0.006,1.9,21a,4.8,n.d.,17 (2),149,50,29,8,-121,-2,-54,"anhydrite/gypsum, azurite/malachite, apatite, biotite, bornite, calcite, chalcocite/digenite, chalcopyrite, chlorite, covellite, copper, cuprite, digenite, enargite, epidote, fluorite, galena, hematite, kaolinite, limonite, magnetite, molybdenite, montmorillonite, muscovite/sericite, powellite, pyrite, pyrrhotite, scheelite, sphalerite, tenorite, tetrahedrite, zeolite","aplite, felsite porphyry, granodiorite porphyry, lamprophyre, quartz diorite porphyry",n.d.,"andesite, conglomerate, granodiorite, sandstone, siltstone ",1957,1983,1.8,1.2,1.7,0,0,0,6.5,4,20.4,,"Casselman, M.J., McMillan, W.J., and Newman, K.M., 1995, Highland Valley porphyry copper deposits near Kamloops, British Columbia: a review and update with emphasis on the Valley deposit, in Schroeter, T.G., ed., Porphyry deposits of the northwestern Cordillera of North America: Canadian Institute of Mining, Metallurgy and Petroleum Special Volume 46, p. 161–191.

Long, K.R., 1995, Production and reserves of Cordilleran (Alaska to Chile) porphyry copper deposits, in Pierce, F.W., and Bolm, J.G., eds., Porphyry copper deposits of the American Cordillera: Tucson, Arizona Geological Society Digest 20, p. 35–68.

McMillan, W.J., 2005, Porphyry Cu-Mo deposits of the HIghland Valley district, Guichon Creek batholith, British Columbia, Canada in Porter, T.M., ed., Superporphyry copper and gold deposits: a global perspective: PGC Publishing, Adelaide, v. 1, p. 259–274.

McMillan, W.J., Thompson, J.F.H., Hart, C.J.R., and Johnston, S.T., 1995, Regional geological and tectonic setting of porphyry deposits in British Columbia and Yukon Territory, in Schroeter, T.G., ed., Porphyry deposits of the northwestern Cordillera of North America: Canadian Institute of Mining, Metallurgy and Petroleum Special Volume 46, p. 40–57.

Ostapenko, M.J., and Jones, M.S., 1976, Valley Copper, in Sutherland Brown, A., ed., Porphyry deposits of the Canadian Cordillera of North America: Canadian Institute of Mining, Metallurgy and Petroleum Special Volume 15, p. 130–143."
Whipsaw,,,Canada,CNBC,British Columbia,49.2933333333333,-120.759444444444,0,n.d.,,0,0,0,0,17,0,n.d.,39a,160,49,17,36,-120,-45,-34,"chalcopyrite, chlorite, epidote, molybdenite, pyrite","breccia, feldspar porphyry, quartz porphyry",n.d.,"amphibolite, granodiorite, greenschist, limestone ",1959,n.d.,0,0,0,0,0,0,0,0,0,"Reported 0.2 to 0.36% Cu, 0.006 to 0.024% Mo.","Richardson, P.W., 1995, The Whipsaw porphyry system, Simiolkameen district, British Columbia, in Schroeter, T.G., ed., Porphyry deposits of the northwestern Cordillera of North America: Canadian Institute of Mining, Metallurgy and Petroleum Special Volume 46, p. 530–533."
Whiting  Creek/Rusty  Zone,,,Canada,CNBC,British Columbia,53.7583333333333,-127.215,82.5,84–81,,0,0,0,0,21a,0,21a ,"17, 21b,22c",131,53,45,30,-127,-12,-54,"anhydrite, biotite, bornite, calcite, chalcocite, chalcopyrite, chlorite, epidote, kaolinite, limonite, molybdenite, montmorillonite, pyrite, sericite","andesite porphyry, breccia, feldspar porphyry, lamprophyre, monzonite porphyry, quartz monzonite porphyry, quartz porphyry ",basalt,"andesite, argillite, conglomerate, granodiorite, rhyolite, sandstone, shale, tuff",1963,n.d.,0,0,0,0,0,0,5.2,2.5,10,The major Ridge zone contains: 31.6 Mt at 0.06% Cu and 0.112% Mo. Locally ≤0.244% Cu and less than 0.03% Mo. ,"Cann, R.M., 1995, The Whiting Creek copper-molybdenum porphyry, west-central British Columbia, in Schroeter, T.G., ed., Porphyry deposits of the northwestern Cordillera of North America: Canadian Institute of Mining, Metallurgy and Petroleum Special Volume 46, p. 458–466.

Carter, N.C., 1981, Porphyry copper and molybdenum deposits, West-Central Columbia: Ministry of Energy, Mines and Petroleum Resources Bulletin 64, 150 p. 

Macintyre, D. G., 1985, Geology and mineral deposits of the Tantsa lake, West-Central British Columbia: Bulletin, British Columbia Ministry of Energy, Mines and Petroleum Resources, 75, 84 p."
Willa,,,Canada,CNBC,British Columbia,49.8833333333333,-117.366666666667,183,183,,0,0,0,0,17,0,n.d.,n.d.,163,49,53,,-117,-22,,"actinolite, anhydrite/gypsum, biotite, chalcopyrite, epidote, gold, magnetite, molybdenite, Pb-Bi-Sb–sulphosalt, pyrite, pyrrhotite, sphalerite, zeolite ","breccia, feldspar porphyry, quartz latite porphyry",n.d.,"andesite porphyry, conglomerate, granodiorite, pyroclastics, quartz monzonite",1898,n.d.,0.5,0.15,0.06,0,0,0,0,0,0,"Resource: 0.47 Mt at 0.86% Cu, 5.9 g/t Au, up to 0.008% Mo, 10 g/t Ag","Wong, R.H., and Spence, C.D., 1995, Copper-gold mineralization in the Willa breccia pipe, southeastern British Columbia, in Schroeter, T.G., ed., Porphyry deposits of the northwestern Cordillera of North America: Canadian Institute of Mining, Metallurgy and Petroleum Special Volume 46, p. 401–409."
Coxheath,,,Canada,CNNS,Nova Scotia,46.0833333333333,-60.3666666666667,621,622–620,,0,0,0,0,17,0,n.d.,n.d.,174,46,5,,-60,-22,,"actinolite, albite, apatite, bornite, calcite, chalcopyrite, chlorite, epidote, hematite, kaolinite, magnetite, molybdenite, muscovite/sericite, pyrite, pyrophyllite, titanite, tourmaline","diorite, granite, granodiorite, monzonite porphyry",n.d.,"andesite, basalt, dacite, rhyolite, pyroclastics",1875,n.d.,0,0,0,11,4,34,7.5,3.7,22,"Reported ≤2% Cu, 1% Mo, 8.6 g/t Au.","Lynch, G., and Ortega, J, 1997, Hydrothermal alteration and tourmaline-albite equilibria at the Coxheath porphyry Cu-Mo-Au deposit, Nova Scotia: The Canadian Mineralogist, v. 35, p. 79–94."
Beidelman  Bay,,Darkwater Mine,Canada,CNON,Ontario,49.8333333333333,-91,2500,Archean,,0,0,0,0,17,0,n.d.,Aushear veins,166,49,50,,-91,0,,"ankerite, biotite, chalcopyrite, gold, hematite, magnetite, molybdenite, pyrite, pyrrhotite, sericite, sphalerite, tourmaline ","breccia, feldspar porphyry",n.d.,"felsic pyroclastics, metavolcanic rocks, quartz diorite, trondhjemite",1934,n.d.,0,0,0,0,0,0,2.9,0.6,1.4,"Reported 0.2% Cu, 0.03% Mo, ≤410 ppb Au in altered trondhjemite; 50 Kt at 6,8 g/t Au in shear veins","Poulsen, K.H., and Franklin, J.M., 1981, Copper and gold mineralization in an Archean trondhjemite intrusion, Sturgeon Lake, Ontario: Geological Survey of Canada Paper 81-1A, Current Research, Part A, p. 9–14. "
Jogran,,,Canada,CNON,Ontario,47.0430555555556,-84.6152777777778,1070,1070,20,0.19,0.05,0,0,21a,0,"21a, Au-Cu veins",n.d.,167,47,2,35,-84,-36,-55,"chalcocite,  chalcopyrite, chlorite, copper, galena, hematite, molybdenite, pyrite, sericite, sphalerite ",quartz monzonite porphyry,n.d.,"basalt, diabase, granite, metasedimentary rocks, mafic metavolcanic rocks",n.d.,n.d.,0,0,0,0,0,0,0,0,0,,"Blecha, M., 1974, Bachawana area—a possible Precambrian porphyry copper district: The Canadian Mining and Metallurgical Bulletin, v. 67, no. 748, p. 71–76. 

Richards, J.P., and Spooner, E.T.C., Evidence for Cu-(Ag) mineralization by magmatic-meteoric fluid mixing in Keweenawan fissure veins, Mamainse Point, Ontario: Economic Geology. v. 84, p. 360–385. "
McIntyre,,Pamour,Canada,CNON,Ontario,48.5,-81.25,2575,2475,,0,0,0,0,17,0,n.d.,Au quartz-carbonate veins (36a?),169,48,30,,-81,-15,,"actinolite, albite, anhydrite, bornite, carbonate, chalcopyrite, chlorite, epidote, gold, hematite, molybdenite, pyrite, sericite, tennantite/tetrahedrite ","breccia, rhyodacite porphyry (felsic schist)",n.d.,mafic metavolcanic rocks (metabasalt),1960,1963,0.5,0.13,0.05,2.5,0.5,0.98,0,0,0,"The McIntire–Hollinger Complex produced: 1089 t Au, 218 t Ag, and 90,718 t Cu .  The productive underground Cu-interval extended from 1250 foot level down to 4175 foot level with 10 Mt reserve at 0.8% Cu, 0.9 g/t Au, and about 0.05% Mo. ","Davies, J.F., and Luhta, L.E., 1978, An Archean “porphyry-type”, disseminated copper deposit, Timmins, Ontario: Economic Geology, v. 73, p. 383, 396. 

 Mason, R., and Melnik, N., 1986, The anatomy of an Archean gold system—the McIntire-Hollinger Complex at Timmins, Ontario, Canada, in Macdonald, A.J., ed., Gold’86, an International Symposium on the geology of gold deposits: Proceedings Volume, Toronto, p. 40–55."
Stancop,Log Lake,,Canada,CNON,Ontario,47.9666666666667,-80.75,2633,2633,,0,0,0,0,17,0,n.d.,"porphyry Au, 36a, late Barite-Ccp vein",170,47,58,,-80,-45,,"barite, bornite, chalcopyrite, chlorite, fluorite, galena, hematite, molybdenite, pyrite, sphalerite, tourmaline","diabase  dike, syenite, syenite porphyry","diorite, gneiss, granite","metaconglomerate, metasedimentary rocks, metavolcanic rocks",n.d.,n.d.,0,0,0,0,0,0,0,0,0,"≤0.6% Cu, overall grade 0.05 to 0.1% Cu, 0.17 to 0.34 g/t Au, ≤3.0 g/t Ag.","Sinclair, W.D., 1979, Copper-molybdenum occurrences of the Matachewan area, Ontario: Current Research, Part A, Geological Survey of Canada, Paper 79–1A, p. 253–258.

Sinclair, W.D., 1980, Gold deposits of the Matachewan area, Ontario, in Hodder, R.W., and Petruk, W., eds., Geology of Canadian Gold deposits: The Canadian Institute of Mining and Metallurgy, Special Volume 24, p. 83–93. "
Tribag,,,Canada,CNON,Ontario,47.0919444444444,-84.4783333333333,1055,1055,165,0.15,0.03,0,0,17,0,17,n.d.,168,47,5,31,-84,-28,-42,"carbonate, chalcopyrite, chlorite, copper, galena, molybdenite, pyrite, pyrrhotite, scheelite, sericite, sphalerite, stibnite, wolframite","breccia, felsite, felsite porphyry",n.d.,"basalt, diabase, granite, metasedimentary rocks, mafic metavolcanic rocks",n.d.,n.d.,0,0,0,3.5,1.2,3.3,0,0,0,≤0.05% Mo; production of 900 Kt at 1.64% Cu,"Blecha, M., 1974, Bachawana area—a possible Precambrian porphyry copper district: The Canadian Mining and Metallurgical Bulletin, v. 67, no. 748, p. 71–76. 

Richards, J.P., and Spooner, E.T.C., Evidence for Cu-(Ag) mineralization by magmatic-meteoric fluid mixing in Keweenawan fissure veins, Mamainse Point, Ontario: Economic Geology, v. 84, p. 360–385. "
Chibougamau,"Clark Lake, Grandroy, Quellus, R-2",Chibougamau district,Canada,CNQU,Quebec,49.8666666666667,-74.2333333333333,2715,2716–2714,,0,0,0,0,17,0,Cu-Au high-sulfide shear veins,n.d.,172,49,52,,-74,-14,,"chalcopyrite, chlorite, magnetite, pyrite, pyrrhotite, sericite, siderite ",tonalite porphyry,n.d.,"anorthosite, felsic metavolcanic rocks, gabbro, mafic metavolcanic rocks, diorite, metasedimentary rocks, quartz diorite, tonalite",n.d.,n.d.,0,0,0,0,0,0,0,0,0,"Since 1954, 47 Mt produced at 1,82% Cu, and 2.2 g/t Au from 15 Cu-Au veins.","Kirkham, R.V., Robert, F., Sinclair,  W.D., Pilote, P., and Daigneault, T.R., 1997, Chibougamau mining district, Quebec, Canada: vein Cu-Au and porphyry Cu(-Mo) deposits related to a composite Archean tonalitic batholith, in Papunen, H., ed., Mineral deposits research and exploration, where they meet?: A.A. Balkema, Rotterdam, p. 647–649.

Sinclair, W.D., Pilote, P., Kirkham, R.V., Robert, F., and Daigneault, T.R., 1994, A preliminary report of porphyry Cu-Mo-Au and shear zone-hosted Cu-Au deposits in the Chibougamau area, Quebec: Geological Survey of Canada, Current Research 1994-1C, p. 303–309. "
Don  Rouyn,,,Canada,CNQU,Quebec,48.2666666666667,-79,2700,2700,36,0.15,0,0,0,17,0,n.d.,28a,171,48,16,,-79,0,,"bornite, chalcopyrite, chlorite, epidote, hematite/specularite, molybdenite, pyrite, sericite, sphene, tourmaline","breccia, feldspar porphyry, mafic dike, rhyolite porphyry, rhyodacite porphyry", n.d.,"granodiorite, felsic metavolcanic rocks, mafic metavolcanic rocks, tonalite, trondhjemite",1925,1957,0.5,0.2,0.08,0,0,0,0,0,0,"Mined as a source of cupriferous siliceous flux containing ≤0.25% Cu; one zone contains 1 g/t Au, 4 ppm W, 360 ppm Mo.","Goldie, R., Kotila, B., and Seward, D., 1979, The Don Rouyn mine: an Archean porphyry copper deposit near Noranda , Quebec: Economic Geology, v. 74, p. 1680–1684.

Jebrak, M., Harnois, L., Carrier, A., and Lafrance, J., 1996, Le porphyre a Cu-Au de Don Rouyn Cu-Au, in Couture, J-F., and Goutier, J., eds., Metallogenie aet evolution tectonique de la region de Noranda-Rouyn : Canada, Quebec, Livret-guide d’excursion, MB 96-06, p. 83–89.   "
Gaspé  ,,"Mines Gaspé, Copper Mountain",Canada,CNQU,Quebec,48.9666666666667,-65.5194444444444,348,350–346,336,0.555,0.022,0.062,2.8,21a,0,n.d.,18b,173,48,58,,-65,-31,-10,"anhydrite, azurite/malachite, biotite, chalcopyrite, chlorite, epidote, fluorite, illite, molybdenite, montmorillonite, pyrite, pyrrhotite, sericite, sphalerite, tremolite","diabase dike, quartz feldspar porphyry, quartz monzonite, skarn",granite,"limestone, calcareous shale, sandstone, siltstone",1938,1968,0.6,0.3,0.14,9,5,7.5,2.5,1.1,2.2,There is an additional 20 Mt of skarn-type ore.,"Hollister, V.F., 1978, Geology of the porphyry copper deposits of the Western Hemisphere: New York, American Institute of Mining and Metallurgical Engineers, 219 p.

Hussey, J., and Bernard, P., 1998, Discovery and exploration of the deep seated Porphyry Mountain Cu-Mo deposit, Murdochville, Quebec, Canada (abstract): Society for Mining, Metallurgy and Exploration (SME) Annual Meeting, Orlando, Florida, March 9-11, Technical Program, p. 63.

Williams-Jones, A.E., 1986, Low-temperature metamorphism of the rocks surrounding Les Mines Gaspé , Quebec: implications for mineral exploration: Economic Geology, v. 81, p. 466–470.

Doyon, M., 1996, Exploration for porphyry-related mineral deposits in the Gaspé peninsula: new perspectives: Sevice Geologique de Quebec, v, 96–1, p. 1–6.
"
Cash,,,Canada,CNYT,Yukon Territory,62.4166666666667,-137.616666666667,,n.d.,36,0.28,0.021,0.17,0,17,0,n.d.,n.d.,102,62,25,,-137,-37,,"anhydrite/gypsum, apatite, azurite/malachite, biotite, bornite, chalcocite/digenite, chalcopyrite, chlorite, cuprite/tenorite, epidote, fluorite, goethite/limonite, hematite/specularite, jarosite, magnetite, molybdenite, pyrite, sericite ","feldspar porphyry, felsic volcanics, quartz feldspar porphyry, volcanic breccia",gneiss,"granodiorite, metasedimentary rocks, quartz monzonite",n.d.,n.d.,0,0,0,0,0,0,0,0,0,,"Kirkham, R.V., McCann, C., Prasad, N., Soregaroli, A.E., Vokes, F.M., and Wine, G., 1982, Molybdenum in Canada, Part 2: Molyfile–An Index–Level Computer: Economic Geology Report 33, Geological Survey of Canada, 208 p. 

Munro, J.C.,1983, Mines and important mineral deposits of the Yukon and Northwest Territories, 1982: Northern Resources and Economic Planning Branch, Northern Affairs Program, Northern Mineral Policy Series NM 1, 45 p.  "
Casino,,,Canada,CNYT,Yukon Territory,62.7361111111111,-138.829166666667,73,74-72,964,0.22,0.02,0.24,1.8,17,0,n.d.,"22c, 39a",101,62,44,10,-138,-49,-45,"anhydrite/gypsum, azurite/malachite, biotite, bismuth, bornite, brochantite, cassiterite, chalcanthite, chalcocite/digenite, chalcopyrite, chlorite, copper, covellite, cuprite/tenorite, epidote, ferrimolybdite, galena, garnet, goethite/limonite, gold, hematite, jarosite, kaolinite, magnetite, molybdenite, montmorillonite, neotocite, pyrite, sericite, sphalerite, tetrahedrite, tourmaline","breccia, dacite porphyry, latite, quartz monzonite, tuff breccia","amphibolite, gneiss, quartzite, ultramafic sill","dacite, granodiorite, quartz diorite, rhyodacite",1917,n.d.,1.8,0.76,1.1,0,0,0,2.4,1.4,2.7,,"Anonymous, 2006, Lumina merging with Western Copper: The Northern Miner, September 22–28, 2006, p. 15.

Bower, B., Payne, J., DeLong, C., and Rebagliati, C.M., 1995, The oxide-gold, supergene and hypogene zones at the Casino gold-copper-molybdenum deposit, west-central Yukon, in Schroeter, T.G., ed., Porphyry deposits of the northwestern Cordillera of North America: Canadian Institute of Mining, Metallurgy and Petroleum Special Volume 46, p. 352–366.

Godwin, C.I., 1976, Casino, in Sutherland Brown, A., ed., Porphyry deposits of the Canadian Cordillera of North America: Canadian Institute of Mining, Metallurgy and Petroleum Special Volume 15, p. 344–358.

Rebagliati, C.M., and Banner, R.H, 2003, Qualifying report, Casino property, Yukon Territory, 198 p.: Lumina Copper Corporation, http://www.luminacopper.com/s/CasinoProperty.asp"
Williams  Creek,,,Canada,CNYT,Yukon Territory,62.3416666666667,-136.691666666667,0,n.d.,,0,0,0,0,20c,0,n.d.,n.d.,103,62,20,30,-136,-41,-30,"chalcopyrite, pyrite",n.d.,n.d.,"gneiss, metasedimentary rocks",1963,n.d.,0,0,0,0,0,0,0,0,0,"Incomplete drilling shows 20 Mt at 1.06% Cu, 1.1 g/t Au.","Kirkham, R.V., McCann, C., Prasad, N., Soregaroli, A.E., Vokes, F.M., and Wine, G., 1982, Molybdenum in Canada, Part 2: Molyfile–An Index–Level Computer: Economic Geology Report 33, Geological Survey of Canada, 208 p. 

Munro, J.C.,1983, Mines and important mineral deposits of the Yukon and Northwest Territories, 1982: Northern Resources and Economic Planning Branch, Northern Affairs Program, Northern Mineral Policy Series NM 1, 45 p.  "
Andacollo,,,Chile,CILE,,-30.25,-71.4166666666667,112,112±10,540,0.45,0.05,0.25,0,17,0,n.d.,"25c, 25a (manto), 39a",307,-30,-15,,-71,-25,,"adularia, anhydrite/gypsum, azurite/malachite, biotite, bismuthinite, bornite, cerussite, chalcocite/digenite, chalcopyrite, chlorite, chrysocolla, cinnabar, covellite, cubanite, epidote, galena, gold, goethite, hematite/specularite, jarosite, kaolinite/illite/dickite, magnetite, molybdenite, pyrite, pyrrhotite, rutile, sericite, sphalerite, tetrahedrite",tonalite porphyry,"conglomerate, ignimbrite, limestone","andesite, andesite breccia, dacite, dacite breccia, diorite, ",1568,1980,1.5,1.3,1.5,5,3.8,15,5,2.5,9.8,Re-Os age 103–89 Ma.,"Camus, F., 2005, The Andean porphyry systems, in Porter, T.M., ed., Superporphyry copper and gold deposits: a global perspective: PGC Publishing, Adelaide, v. 1, p. 45–63.

Freydier, C., Ruiz, J., Chesley, J., McCandless, T., and Munizaga, F., 1997, Re-Os isotope systematics of sulfides from felsic igneous rocks: application to base metal porphyry mineralization in Chile: Geology, v. 25, p. 775–778.

Lincoln, J.B., and Tellez, P.C., 1996, The Andacollo gold project, IV Region, Chile, in Green, S.M., and Struhsacker, E., eds., Geology and ore deposits of the American Cordillera: Geological Society of Nevada Field Trip Guidebook Compendium, p. 492–495.

Mundaka, A.P., 2006, Chile, exploration reviews: SEG (Society of Economic Geologists) Newsletter, no. 67, p. 46–47.

Reyes, M., 1991, The Andacollo strata-bound gold deposit, Chile, and its position in a porphyry copper-gold system:Economic Geology, v. 86, p. 1301–1316.   

Sillitoe, R.H., 1991, Gold metallogeny of Chile—an introduction: Economic Geology, v. 86, p. 1187-1205.

Sillitoe, R.H., and Perelló, J., 2005, Andean copper province: tectonomagmatic settings, deposit types, metallogeny, exploration, and discovery, in Hedenquist, J.W., Thompson, J.F.H., Goldfarb, R., Richards, J., eds., Economic Geology 100th Anniversary Volume, p. 845–890.  "
Angelina,Rio Blanco,,Chile,CILE,,-24.3983333333333,-69.6075,,n.d.,,0,0,0,0,17,0,n.d.,n.d.,298,-24,-23,-54,-69,-36,-27,"alunite, hematite",sericitic porphyry,n.d.,n.d.,n.d.,n.d.,0,0,0,0,0,0,0,0,0,Hematitic leached capping. 31 Ma of supergene alunite.,"Sillitoe, R.H., and McKee, E.H., 1996, Age of supergene oxidation and enrichment in the Chilean porphyry copper province: Economic Geology, v. 91, p. 164–179."
Antucoya,Buey Muerto,,Chile,CILE,,-22.5333333333333,-69.9166666666667,142,141.9±1.4;,519,0.41,0,0,0,17,0,n.d.,n.d.,665,-22,-32,,-69,-55,,"albite, anhydrite, atacamite, biotite, brochantite, chalcopyrite, chlorite, chrysocolla, epidote, hematite, jarosite, kaolinite/illite/ dickite, limonite, molybdenite, pyrite, sericite, smectite ","breccia, dacite dike, granodiorite porphyry, monzodiorite,  tonalite porphyry, ",n.d.,"andesite, tuffaceous sandstone, tuffaceous siltstone ",n.d.,n.d.,0,0,0,1.6,1,1.3,0,0,0,Oxide ore resources. Mostly covered by gravel. Buey Muerto prospect 137±4 to 132±4 Ma (biotite and sericite). ,"Camus, F., 2005, The Andean porphyry systems, in Porter, T.M., ed., Superporphyry copper and gold deposits: a global perspective: PGC Publishing, Adelaide, v. 1, p. 45–63.

Cunningham, C.G., and others, in press, Quantitative mineral resource assessment of undiscovered porphyry copper deposits in South America: U.S. Geological Survey, Open-File Report 2008-XX, 304 p.

Maksaev, V., Munizaga, F., Fanning, M., Palacios, C., Tapia, J., 2006, SHRIMP U–Pb dating of the Antucoya porphyry copper deposit: new evidence for an Early Cretaceous porphyry-related metallogenic epoch in the Coastal Cordillera of northern Chile: Mineralium Deposita, v. 41, p. 637–644.

Sillitoe, R.H., and Perelló, J., 2005, Andean copper province: tectonomagmatic settings, deposit types, metallogeny, exploration, and discovery, in Hedenquist, J.W., Thompson, J.F.H., Goldfarb, R., Richards, J., eds., Economic Geology 100th Anniversary Volume, p. 845–890.   "
Centinela,,,Chile,CILE,,-23.1633333333333,-69.1683333333333,44,44.3±1.5,,0,0,0,0,17,0,n.d.,n.d.,292,-23,-9,-48,-69,-10,-6,"atacamite, chalcocite, chalcopyrite, chrysocolla, chlorite, clay minerals, pyrite, sericite, tenorite, tourmaline","dacite porphyry, diorite ",n.d.,"tonalite, volcanic rocks",n.d.,n.d.,0,0,0,0,0,0,0,0,0,Preliminary resources: 4.5 Mt at 0.64% Cu. ,"Boric, R.P., Diaz, F.F., Maksaev, V.J., 1990, Geologia y yacimientos metaliferos de la region de Antofagasta: Servicio Nacional de Geologia y Mineneria - Chile, Boletin, no. 40, 246 p., 1 mapa escala 1:500000.

Zappettini, E., Miranda-Angles, V., Rodrigez, C., Palacios, O., Cocking, R., Godeas, M., Uribe-Zeballos, H., Vivallo, A.S., Paz, M.M., Seggiaro, R., Heuschmidt, B., Gardeweg, M., Boulangger, E., Korzeniewski, L., Mpodozis, C., Carpio, M., Rubiolo, D., 2001, Mapa metallógenico de la región fronteriza entre Argentina, Bolivia, Chile y Perú (14oS y 28oS) Servicio Nacional de Geología y Mínera – Chile, Publicatión Geologica Multinacional, no. 2, 222 p., 1 mapa escala 1,000,000. "
